import time: self [us] | cumulative | imported package
import time:      2661 |       6105 |         astropy.units.quantity
import time:       621 |        621 |             astropy.constants.constant
import time:      1172 |       1172 |               astropy.constants.config
import time:       225 |       1396 |             astropy.constants.si
import time:       197 |        197 |             astropy.constants.cgs
import time:       130 |        130 |             astropy.constants.utils
import time:      1704 |       4046 |           astropy.constants
import time:     13386 |      17432 |         astropy.units.si
import time:      4242 |       4242 |         astropy.units.cgs
import time:       153 |        153 |           astropy.extern.ply
import time:       814 |        814 |           astropy.extern.ply.yacc
import time:       442 |        442 |           astropy.units.format.generic_parsetab
import time:       463 |        463 |           astropy.extern.ply.lex
import time:       135 |        135 |           astropy.units.format.generic_lextab
import time:     20793 |      22797 |         astropy.units.astrophys
import time:      1183 |       1183 |         astropy.units.photometric
import time:       405 |        405 |           astropy.units.function.core
import time:       178 |        178 |               astropy.units.function.mixin
import time:       614 |        791 |             astropy.units.function.units
import time:      6428 |       7219 |           astropy.units.function.logarithmic
import time:       165 |       7788 |         astropy.units.function
import time:      2947 |       2947 |           astropy.units.imperial
import time:      1010 |       3956 |         astropy.units.physical
import time:       377 |        377 |         astropy.units.equivalencies
import time:       196 |        196 |         astropy.units.decorators
import time:     14105 |      84635 |       astropy.units
import time:       528 |     137549 |     thor.testing.orbit_testing
import time:       511 |        511 |     thor.testing.ephemeris_testing
import time:       846 |     138905 |   thor.testing
import time:       309 |        309 |         pytz.exceptions
import time:       303 |        303 |         pytz.lazy
import time:       282 |        282 |         pytz.tzinfo
import time:       173 |        173 |         pytz.tzfile
import time:      1341 |       2406 |       pytz
import time:       170 |        170 |         dateutil._version
import time:       216 |        385 |       dateutil
import time:       225 |        225 |             mmap
import time:      1911 |       1911 |             typing
import time:      1623 |       3758 |           pandas._typing
import time:       223 |       3981 |         pandas.compat
import time:       390 |       4370 |       pandas.compat.numpy
import time:       519 |        519 |                   pandas._libs.tslibs.dtypes
import time:       164 |        164 |                     pandas._libs.tslibs.base
import time:       196 |        196 |                       pandas._libs.tslibs.np_datetime
import time:       356 |        551 |                     pandas._libs.tslibs.nattype
import time:       929 |        929 |                           six
import time:        46 |         46 |                           six.moves
import time:       250 |        250 |                           dateutil.tz._common
import time:       303 |        303 |                           dateutil.tz._factories
import time:        33 |         33 |                             six.moves.winreg
import time:       226 |        258 |                           dateutil.tz.win
import time:       936 |       2720 |                         dateutil.tz.tz
import time:       203 |       2923 |                       dateutil.tz
import time:       283 |       3206 |                     pandas._libs.tslibs.timezones
import time:       186 |        186 |                       pandas._libs.tslibs.ccalendar
import time:       318 |        503 |                     pandas._libs.tslibs.tzconversion
import time:       733 |        733 |                         pandas._libs.tslibs.timedeltas
import time:       116 |        116 |                           backports_abc
import time:      1003 |       1003 |                                 pandas._config.config
import time:       365 |        365 |                                 pandas._config.dates
import time:       200 |        200 |                                 pandas._config.display
import time:       231 |       1797 |                               pandas._config
import time:       129 |        129 |                                 msvcrt
import time:       211 |        211 |                                 _posixsubprocess
import time:       343 |        343 |                                 select
import time:       745 |        745 |                                 selectors
import time:       623 |       2050 |                               subprocess
import time:       200 |       4047 |                             pandas._config.localization
import time:       133 |        133 |                               backports_abc
import time:       673 |        673 |                               calendar
import time:      1227 |       2032 |                             pandas._libs.tslibs.strptime
import time:       403 |       6481 |                           pandas._libs.tslibs.fields
import time:       815 |       7410 |                         pandas._libs.tslibs.timestamps
import time:       124 |        124 |                         backports_abc
import time:       145 |        145 |                         dateutil.easter
import time:       153 |        153 |                           dateutil._common
import time:       249 |        402 |                         dateutil.relativedelta
import time:       210 |        210 |                         pandas._libs.properties
import time:      1447 |      10468 |                       pandas._libs.tslibs.offsets
import time:       120 |        120 |                       backports_abc
import time:       872 |        872 |                         dateutil.parser._parser
import time:       390 |        390 |                         dateutil.parser.isoparser
import time:       274 |       1535 |                       dateutil.parser
