,obs_id,exp_mjd,night,RA_deg,Dec_deg,obs_x_au,obs_y_au,obs_z_au,mag,name,Delta_au,r_au,obj_x_au,obj_y_au,obj_z_au,obj_dx/dt_au_p_day,obj_dy/dt_au_p_day,obj_dz/dt_au_p_day,theta_x_deg,theta_y_deg,naive_dec,naive_ra
693551,10405184,59582.1729999993,59582,200.43743355470002,-19.916733718699998,-0.2119473864,0.9602515564,-7.80229e-05,21.233598908,X5652,2.9556263363,2.8857751316000004,-2.8158766821,-0.330508975,-0.5378665627,0.0035900671,-0.0098518497,-0.0010294466,0.67210583076886,0.06854064030891327,-0.11673371869999727,0.6374335547000101
710138,10641528,59582.1729999993,59582,198.8544382363,-19.9301684191,-0.2119473864,0.9602515564,-7.80229e-05,21.0184845264,Y3276,2.9303201493,2.8856938348,-2.8189507166000003,-0.2538755326,-0.562399306,0.0016891632,-0.0102848461,-0.0015824551999999998,-0.888503150198529,-0.393635002746563,-0.13016841909999854,-0.9455617636999989
728035,10987178,59582.1729999993,59582,199.0358020065,-20.2602161292,-0.2119473864,0.9602515564,-7.80229e-05,21.5716400159,Z4426,2.3089692022,2.3045020354,-2.2596058044,-0.0059932802,-0.4526315505,-0.0024600815,-0.0117806615,-0.0002033168,-0.5981088242574276,-0.6574100734510192,-0.4602161291999991,-0.7641979935000052
728199,10987643,59582.1729999993,59582,199.20169688150003,-20.583177668199998,-0.2119473864,0.9602515564,-7.80229e-05,21.94302743,Z4441,2.955085725,2.9000345029,-2.8244822533,-0.2877903746,-0.5913347776,-0.0008315914,-0.009505672,-0.0003786762,-0.3259842595516963,-0.9202036685929861,-0.7831776681999969,-0.5983031184999845
732948,11079837,59582.1729999993,59582,199.37074877669997,-20.5572534142,-0.2119473864,0.9602515564,-7.80229e-05,22.166061391,Z7415,2.894520496,2.8405593429000002,-2.7687311101,-0.26878745519999997,-0.5750293247,-0.0018293594,-0.0095835156,-0.0011400358,-0.16818015326043703,-0.8481024317371009,-0.7572534142000009,-0.4292512233000423
765371,11536808,59582.1729999993,59582,200.7282076494,-19.760183582899998,-0.2119473864,0.9602515564,-7.80229e-05,21.8371003269,b2156,3.2991219973000003,3.2084018038999997,-3.1158260151999997,-0.4916591433,-0.5862948621999999,0.0009796914,-0.0091824124,0.0015691123999999998,0.9087257746064327,0.30225763014897206,0.03981641710000261,0.9282076493999796
779200,11688057,59582.1729999993,59582,200.3320011871,-20.489206574100002,-0.2119473864,0.9602515564,-7.80229e-05,22.438264790799998,b7035,3.9694013216000004,3.8553020618000002,-3.69856904,-0.7777706393000001,-0.7609296135,0.0029734362,-0.0068836579,-0.0008328147,0.7598757640514626,-0.5143785427605322,-0.6892065741000017,0.5320011870999792
640231,9577887,59582.1729999993,59582,199.9857911701,-20.4413327975,-0.2119473864,0.9602515564,-7.80229e-05,21.3759348337,U8965,2.7507345674,2.6970806608999998,-2.6342439630000003,-0.2301568429,-0.5310655914,-0.0009441769999999999,-0.0104823793,0.0007322875,0.4005356933231512,-0.5647216559635839,-0.6413327974999987,0.18579117009997503
470867,7036445,59582.1729999993,59582,199.89694374099997,-19.1010494101,-0.2119473864,0.9602515564,-7.80229e-05,20.8963083974,M6983,3.0824965061,3.0187073562999998,-2.9508557707,-0.3504920572,-0.5312246615999999,0.0002017245,-0.0099338307,-0.0001924363,-0.14301970239917774,0.6978845318805492,0.6989505899000008,0.09694374099996139
444546,6669064,59582.1729999993,59582,199.20757141599998,-19.3621971631,-0.2119473864,0.9602515564,-7.80229e-05,21.2766121736,L5132,1.9911606768999999,2.0224921778,-1.985918135,0.1306334987,-0.3599147947,-0.001763205,-0.010966165,0.0038140071999999995,-0.7350827826149239,0.24902076938056467,0.4378028369000013,-0.5924285840000323
